dt,mean_active_mins,num_active_users,mean_total_active_mins
2018-11-01,97913.0,5062,19.342749901224813
2018-11-02,101547.0,5152,19.710209627329192
2018-11-03,98000.0,5033,19.471488178025034
2018-11-04,101623.0,5128,19.817277691107645
2018-11-05,98240.0,5122,19.180007809449435
2018-11-06,102303.0,5157,19.837696335078533
2018-11-07,107205.0,5117,20.95075239398085
2018-11-08,98599.0,5090,19.371119842829078
2018-11-09,104851.0,5332,19.664478619654915
2018-11-10,101054.0,5146,19.637388262728333
2018-11-11,101216.0,5200,19.464615384615385
2018-11-12,96878.0,5333,18.165760360022503
2018-11-13,100480.0,5335,18.83411433926898
2018-11-14,103126.0,5389,19.13638894043422
2018-11-15,96672.0,5376,17.982142857142858
2018-11-16,101705.0,5362,18.967735919433046
2018-11-17,99370.0,5302,18.741984156921916
2018-11-18,98210.0,5352,18.350149476831092
2018-11-19,100814.0,5276,19.10803639120546
2018-11-20,102578.0,5296,19.368957703927492
2018-11-21,99104.0,5305,18.68124410933082
2018-11-22,101592.0,5404,18.79940784603997
2018-11-23,105093.0,5491,19.139136769258787
2018-11-24,102533.0,5441,18.844513876125713
2018-11-25,102277.0,5514,18.548603554588322
2018-11-26,106980.0,5488,19.49344023323615
2018-11-27,107485.0,5616,19.139066951566953
2018-11-28,107618.0,5517,19.506615914446257
2018-11-29,101255.0,5516,18.356598984771573
2018-11-30,103651.0,5537,18.719703810727832
2018-12-01,96771.0,5280,18.32784090909091
2018-12-02,102122.0,5376,18.995907738095237
2018-12-03,100203.0,5164,19.40414407436096
2018-12-04,99572.0,5260,18.930038022813687
2018-12-05,101673.0,5233,19.429199312058092
2018-12-06,101207.0,5076,19.938337273443658
2018-12-07,99245.0,5117,19.39515341020129
2018-12-08,103073.0,5338,19.30929186961409
2018-12-09,102800.0,5382,19.100706057227796
2018-12-10,100169.0,5427,18.457527178920213
2018-12-11,105186.0,5516,19.069253081943437
2018-12-12,110510.0,5501,20.08907471368842
2018-12-13,109477.0,5519,19.83638340279036
2018-12-14,112608.0,5653,19.92004245533345
2018-12-15,105294.0,5550,18.971891891891893
2018-12-16,110806.0,5536,20.015534682080926
2018-12-17,110266.0,5592,19.718526466380542
2018-12-18,109627.0,5598,19.5832440157199
2018-12-19,111343.0,5695,19.55100965759438
2018-12-20,111718.0,5603,19.938961270747814
2018-12-21,105285.0,5614,18.754007837548986
2018-12-22,107886.0,5506,19.594260806393027
2018-12-23,113321.0,5563,20.370483552040266
2018-12-24,114151.0,5540,20.604873646209388
2018-12-25,116897.0,5713,20.46157885524243
2018-12-26,111758.0,5628,19.857498223169866
2018-12-27,121803.0,5735,21.238535309503053
2018-12-28,113216.0,5689,19.900861311302513
2018-12-29,116387.0,5723,20.33671151493972
2018-12-30,123570.0,5890,20.97962648556876
2018-12-31,119982.0,5849,20.513250128227046
2019-01-01,118552.0,5931,19.98853481706289
2019-01-02,124182.0,6091,20.387785256936464
2019-01-03,122801.0,6152,19.961150845253577
2019-01-04,124735.0,6165,20.232765612327658
2019-01-05,130599.0,6347,20.57649283125886
2019-01-06,133464.0,6672,20.003597122302157
2019-01-07,128456.0,6702,19.166815875857953
2019-01-08,131664.0,6922,19.021092169893095
2019-01-09,135939.0,6903,19.692742285962623
2019-01-10,131066.0,6839,19.16449773358678
2019-01-11,134952.0,6979,19.33686774609543
2019-01-12,128248.0,6789,18.890558256002357
2019-01-13,133806.0,6826,19.602402578376793
2019-01-14,127286.0,6698,19.003583159151987
2019-01-15,128129.0,6655,19.253042824943652
2019-01-16,133807.0,6712,19.935488676996425
2019-01-17,137622.0,6662,20.657760432302613
2019-01-18,130497.0,6615,19.727437641723355
2019-01-19,133417.0,6733,19.8153869003416
2019-01-20,130652.0,6733,19.40472300608941
2019-01-21,132701.0,6656,19.937049278846153
2019-01-22,125720.0,6575,19.120912547528516
2019-01-23,127473.0,6644,19.18618302227574
2019-01-24,131578.0,6744,19.51037959667853
2019-01-25,129961.0,6896,18.845852668213457
2019-01-26,129104.0,6773,19.061567990550717
2019-01-27,136470.0,7006,19.47901798458464
2019-01-28,129259.0,7109,18.182444788296525
2019-01-29,132640.0,7216,18.38137472283814
2019-01-30,132274.0,7326,18.055419055419055
2019-01-31,136699.0,7364,18.563145029875066
2019-02-01,139177.0,7444,18.696534121440084
2019-02-02,137759.0,7246,19.01173060999172
2019-02-03,140522.0,7365,19.07970128988459
2019-02-04,150984.0,7465,20.225586068318822
2019-02-05,140846.0,7309,19.27021480366671
2019-02-06,143909.0,7234,19.89341996129389
2019-02-07,142576.0,7046,20.23502696565427
2019-02-08,143747.0,7002,20.529420165666952
2019-02-09,137680.0,7002,19.66295344187375
2019-02-10,133269.0,6624,20.11911231884058
2019-02-11,135355.0,6665,20.308327081770443
2019-02-12,134885.0,6591,20.465028068578363
2019-02-13,137128.0,6655,20.605259203606312
2019-02-14,129166.0,6578,19.636059592581333
2019-02-15,130427.0,6658,19.589516371282667
2019-02-16,132846.0,6543,20.303530490600643
2019-02-17,133916.0,6601,20.287229207695805
2019-02-18,131945.0,6436,20.50108763206961
2019-02-19,137825.0,6521,21.13556203036344
2019-02-20,134200.0,6594,20.35183500151653
2019-02-21,127775.0,6538,19.54343836035485
2019-02-22,125231.0,6423,19.497275416472053
2019-02-23,132390.0,6452,20.519218846869187
2019-02-24,128028.0,6417,19.95137914913511
2019-02-25,129261.0,6455,20.024941905499613
2019-02-26,128330.0,6470,19.834621329211746
2019-02-27,124314.0,6391,19.451416053825692
2019-02-28,122749.0,6348,19.336641461877758
2019-03-01,127366.0,6478,19.661315220747145
2019-03-02,128039.0,6336,20.208175505050505
2019-03-03,124991.0,6367,19.631066436312235
2019-03-04,124537.0,6476,19.230543545398394
2019-03-05,129732.0,6383,20.324612251292496
2019-03-06,126242.0,6332,19.93714466203411
2019-03-07,120059.0,6269,19.151220290317436
2019-03-08,123900.0,6393,19.38057250117316
2019-03-09,126679.0,6369,19.88993562568692
2019-03-10,120867.0,6397,18.894325465061748
2019-03-11,127462.0,6428,19.82918481642813
2019-03-12,117683.0,6250,18.82928
2019-03-13,122368.0,6375,19.194980392156864
2019-03-14,116975.0,6253,18.707020630097553
2019-03-15,121942.0,6194,19.687116564417177
2019-03-16,122205.0,6143,19.893374572684355
2019-03-17,119251.0,6116,19.49820143884892
2019-03-18,109517.0,5960,18.375335570469797
2019-03-19,115673.0,5997,19.288477572119394
2019-03-20,109593.0,6085,18.01035332785538
2019-03-21,112372.0,5985,18.77560568086884
2019-03-22,109878.0,5875,18.70263829787234
2019-03-23,110160.0,5966,18.464632919879318
2019-03-24,117404.0,6000,19.567333333333334
2019-03-25,119832.0,6039,19.84302036761053
2019-03-26,117482.0,6109,19.230970698968736
2019-03-27,113902.0,5967,19.088654265124852
2019-03-28,112995.0,5883,19.20703722590515
2019-03-29,112449.0,5930,18.962731871838113
2019-03-30,119273.0,6009,19.849059743717756
2019-03-31,112270.0,5941,18.897492004713012
2019-04-01,112857.0,6035,18.700414250207125
2019-04-02,113898.0,6086,18.71475517581334
2019-04-03,113823.0,5867,19.40054542355548
2019-04-04,115130.0,5814,19.80220158238734
2019-04-05,111940.0,5766,19.413805064169267
2019-04-06,109469.0,5901,18.550923572275885
2019-04-07,104527.0,5838,17.904590613223707
2019-04-08,118162.0,5914,19.98004734528238
2019-04-09,112395.0,5880,19.114795918367346
2019-04-10,114389.0,5992,19.090287049399198
2019-04-11,112564.0,5948,18.924680564895763
2019-04-12,120270.0,6046,19.892490903076414
2019-04-13,112998.0,5979,18.899147014550927
2019-04-14,117025.0,5929,19.737729802664866
2019-04-15,116016.0,5998,19.342447482494165
2019-04-16,114929.0,6001,19.15164139310115
2019-04-17,119894.0,5902,20.31413080311759
2019-04-18,108177.0,5978,18.095851455336234
2019-04-19,114627.0,5859,19.564260112647208
2019-04-20,112101.0,5891,19.029197080291972
2019-04-21,116438.0,5858,19.87674974393991
2019-04-22,112132.0,5809,19.303150284042005
2019-04-23,111486.0,5930,18.80033726812816
2019-04-24,120751.0,5873,20.56036097394858
2019-04-25,113303.0,5930,19.106745362563238
2019-04-26,109191.0,6010,18.168219633943426
2019-04-27,112957.0,5864,19.262789904502046
2019-04-28,110665.0,5920,18.69341216216216
2019-04-29,109000.0,5891,18.502800882702427
2019-04-30,109564.0,5991,18.288098814889
2019-05-01,112955.0,5957,18.961725700856135
2019-05-02,111879.0,5857,19.101758579477547
2019-05-03,111878.0,5826,19.203226913834534
2019-05-04,112811.0,5761,19.581843429960077
2019-05-05,113679.0,5960,19.073657718120806
2019-05-06,110024.0,5942,18.516324469875464
2019-05-07,109760.0,5963,18.40684219352675
2019-05-08,109911.0,5934,18.522244691607685
2019-05-09,113970.0,5975,19.0744769874477
2019-05-10,114934.0,5989,19.19084989146769
2019-05-11,111661.0,6009,18.582293226826426
2019-05-12,111929.0,5928,18.881410256410255
2019-05-13,109454.0,5899,18.55467028309883
2019-05-14,106032.0,5840,18.156164383561645
2019-05-15,113585.0,5895,19.26802374893978
2019-05-16,110307.0,5776,19.097472299168974
2019-05-17,102617.0,5787,17.732331086918958
2019-05-18,112367.0,5729,19.613719671845
2019-05-19,106396.0,5859,18.15941286909029
2019-05-20,106627.0,5673,18.79552265115459
2019-05-21,110743.0,5619,19.708667022601887
2019-05-22,101798.0,5634,18.068512602058927
2019-05-23,104163.0,5608,18.574001426533524
2019-05-24,110349.0,5652,19.523885350318473
2019-05-25,107220.0,5610,19.112299465240643
2019-05-26,106863.0,5536,19.303287572254334
2019-05-27,105062.0,5601,18.757721835386537
2019-05-28,110730.0,5554,19.936982355059417
2019-05-29,107736.0,5578,19.314449623520975
2019-05-30,106253.0,5667,18.749426504323274
2019-05-31,100658.0,5389,18.67841900167007
2019-06-01,102693.0,5427,18.92260917634052
2019-06-02,108094.0,5327,20.291721419185283
2019-06-03,102522.0,5326,19.249342846413818
2019-06-04,100878.0,5335,18.908716026241798
2019-06-05,101423.0,5325,19.046572769953052
2019-06-06,104638.0,5275,19.83658767772512
2019-06-07,104797.0,5500,19.054
2019-06-08,106211.0,5303,20.02847444842542
2019-06-09,103258.0,5446,18.96033786265149
2019-06-10,101786.0,5469,18.61144633388188
2019-06-11,104124.0,5556,18.740820734341252
2019-06-12,108963.0,5506,19.78986560116237
2019-06-13,105160.0,5496,19.13391557496361
2019-06-14,105425.0,5364,19.654175988068605
2019-06-15,101488.0,5415,18.74201292705448
2019-06-16,102658.0,5396,19.024833209785026
2019-06-17,100266.0,5432,18.45839469808542
2019-06-18,106223.0,5467,19.429851838302543
2019-06-19,104538.0,5411,19.31953428201811
2019-06-20,105078.0,5341,19.67384384946639
2019-06-21,100768.0,5295,19.030783758262512
2019-06-22,106274.0,5356,19.84204630321135
2019-06-23,99073.0,5166,19.17789392179636
2019-06-24,107156.0,5275,20.3139336492891
2019-06-25,101004.0,5268,19.173120728929383
2019-06-26,103283.0,5195,19.881231953801734
2019-06-27,102120.0,5274,19.362912400455063
2019-06-28,102641.0,5113,20.074515939761394
2019-06-29,100315.0,5184,19.350887345679013
2019-06-30,98457.0,5248,18.760861280487806
2019-07-01,102071.0,5177,19.716244929495847
2019-07-02,97471.0,5136,18.9779984423676
2019-07-03,105155.0,5300,19.84056603773585
2019-07-04,104660.0,5260,19.897338403041825
2019-07-05,103177.0,5195,19.86082771896054
